batsman,id,inning,leftfast_bowlers,leftfastmedium_bowlers,leftmediumfast_bowlers,leftmedium_bowlers,leftorthodox_bowlers,leftlegbreak_bowlers,leftmystery_bowlers,rightfast_bowlers,rightfastmedium_bowlers,rightmediumfast_bowlers,rightmedium_bowlers,rightorthodox_bowlers,rightlegbreak_bowlers,rightmystery_bowlers,batsman_hand,leftfast_cumruns,leftfast_cumballs,leftfast_cumdismissals,leftfastmedium_cumruns,leftfastmedium_cumballs,leftfastmedium_cumdismissals,leftlegbreak_cumruns,leftlegbreak_cumballs,leftlegbreak_cumdismissals,leftmedium_cumruns,leftmedium_cumballs,leftmedium_cumdismissals,leftmediumfast_cumruns,leftmediumfast_cumballs,leftmediumfast_cumdismissals,leftmystery_cumruns,leftmystery_cumballs,leftmystery_cumdismissals,leftorthodox_cumruns,leftorthodox_cumballs,leftorthodox_cumdismissals,rightfast_cumruns,rightfast_cumballs,rightfast_cumdismissals,rightfastmedium_cumruns,rightfastmedium_cumballs,rightfastmedium_cumdismissals,rightlegbreak_cumruns,rightlegbreak_cumballs,rightlegbreak_cumdismissals,rightmedium_cumruns,rightmedium_cumballs,rightmedium_cumdismissals,rightmediumfast_cumruns,rightmediumfast_cumballs,rightmediumfast_cumdismissals,rightmystery_cumruns,rightmystery_cumballs,rightmystery_cumdismissals,rightorthodox_cumruns,rightorthodox_cumballs,rightorthodox_cumdismissals,overall_runs,overall_balls,overall_dismissed,match_runs
AM Rahane,829797,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,75,69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,227,10,0,0,0,0,0,0,977,887,29,23
AM Rahane,829819,2,1,0,1,0,0,0,0,0,0,2,0,0,1,0,1,24,21,1,0,0,0,0,0,0,0,0,0,69,58,0,0,0,0,0,0,0,0,0,0,0,0,0,105,104,10,0,0,0,275,243,10,0,0,0,0,0,0,1019,927,30,42
AM Rahane,980901,2,0,1,0,0,0,0,0,1,0,2,0,1,1,0,1,0,0,0,94,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,86,2,0,0,0,116,114,10,0,0,0,294,251,10,0,0,0,27,26,0,1085,969,30,66
AM Rahane,980931,2,0,0,0,0,1,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,12,11,1,0,0,0,0,0,0,0,0,0,143,127,1,0,0,0,206,183,2,0,0,0,51,38,1,297,255,10,0,0,0,0,0,0,1145,1016,31,60
AM Rahane,980943,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,260,11,0,0,0,0,0,0,1145,1021,32,0
AM Rahane,980965,2,0,0,0,0,1,0,0,0,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,129,1,0,0,0,227,193,2,130,131,10,0,0,0,306,265,11,0,0,0,44,43,0,1208,1072,32,63
AM Rahane,980979,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,268,12,0,0,0,0,0,0,1208,1075,33,0
AM Rahane,980997,2,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,97,88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,2,252,208,2,138,140,10,0,0,0,0,0,0,0,0,0,0,0,0,1250,1111,33,42
AM Rahane,981005,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,212,2,0,0,0,0,0,0,320,279,13,0,0,0,0,0,0,1269,1126,34,19
AM Rahane,1082592,2,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,109,93,2,0,0,0,0,0,0,0,0,0,0,0,0,154,134,1,92,93,2,270,222,3,0,0,0,0,0,0,344,290,13,0,0,0,0,0,0,1329,1160,35,60
AM Rahane,1082599,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,114,97,3,0,0,0,0,0,0,0,0,0,0,0,0,157,138,1,94,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339,1170,36,10
